City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Collie,0,AU,1519145764,86,-33.36,116.15,54.51,11.41
1,Vila Velha,12,BR,1519145765,100,-3.71,-38.6,81.15,8.95
2,Rudnogorsk,56,RU,1519145766,77,57.27,103.75,6.4,5.03
3,Saint George,92,GR,1519145767,98,39.45,22.34,42,2.57
6,Anshun,12,CN,1519145618,78,26.25,105.93,49.38,3.13
7,Tual,80,ID,1519145829,96,-5.67,132.75,85.74,6.82
8,Pandamatenga,88,BW,1519145829,92,-18.54,25.64,71.16,3.36
9,Olga,5,US,1519142400,17,34.11,-118.17,46.4,5.82
10,Coihueco,0,CL,1519145831,68,-36.63,-71.83,74.58,4.03
11,Derzhavinsk,88,KZ,1519145831,80,51.1,66.31,16.57,11.97
12,Mareeba,68,AU,1519145832,96,-16.99,145.42,70.75,3.02
13,Rudsar,0,IR,1519145832,93,37.14,50.29,46,11.97
14,Bilibino,76,RU,1519145833,69,68.06,166.44,-11.06,2.8
15,Nantucket,90,US,1519143840,93,41.28,-70.1,51.8,10.29
16,Santa Isabel do Rio Negro,24,BR,1519145836,69,-0.41,-65.02,86.37,3.24
17,Anda,0,CN,1519145838,62,46.41,125.33,-2.92,8.28
18,Pacific Grove,1,US,1519144500,80,36.62,-121.92,39.2,5.7
19,Tiznit,8,MA,1519145839,84,29.7,-9.73,59.59,6.38
20,Artesia,1,US,1519144500,31,32.84,-104.4,60.8,20.8
21,Sao Paulo de Olivenca,8,BR,1519145840,60,-3.38,-68.87,91.59,2.91
22,Vila Franca do Campo,68,PT,1519145840,98,37.72,-25.43,61.75,18.23
23,Santa Margherita Ligure,0,IT,1519145841,100,44.33,9.21,37.54,6.93
24,Cabedelo,32,BR,1519145841,91,-6.97,-34.84,82.14,10.74
25,Vokhma,64,RU,1519145842,87,58.93,46.76,14.77,2.91
26,Booue,92,GA,1519145842,100,-0.09,11.94,70.98,1.9
27,Pierre,90,US,1519141980,84,44.37,-100.35,3.2,17.22
28,Camopi,92,GF,1519145843,90,3.17,-52.33,76.42,3.91
29,Datong,0,CN,1519145843,55,40.09,113.3,4.11,2.57
30,Ialibu,48,PG,1519145844,97,-6.28,143.99,49.47,1.23
31,Lebu,32,ET,1519145846,74,8.96,38.73,59.19,6.04
32,Petrov Val,64,RU,1519145848,85,50.14,45.21,18.15,9.06
